"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Benzamidine","GO:0015934","large ribosomal subunit","11/205","101/9658",0.108910891089109,5.13103115189568,6.1457031787925,9.01549169526704e-06,0.00124263527199764,0.00119890222894955,"gene-mRpL27/gene-RpL5/gene-RpL4/gene-RpL18A/gene-RpL10Ab/gene-RpL12/gene-mRpL14/gene-mRpL39/gene-RpL8/gene-RpL30/gene-mRpL46",11
"Benzamidine","GO:0051153","regulation of striated muscle cell differentiation","9/205","67/9658",0.134328358208955,6.32850382235166,6.44501533138404,1.08079997310981e-05,0.0014301145244189,0.00137978337619745,"gene-bent/gene-Nacalpha/gene-Prm/gene-Tm2/gene-Mp20/gene-LOC142974453/gene-yps/gene-Pax/gene-sgg",9
"Benzamidine","GO:0016459","myosin complex","6/205","27/9658",0.222222222222222,10.4693766937669,7.25572478331601,1.73373436601877e-05,0.00220584357030388,0.00212821157804409,"gene-bent/gene-LOC142986440/gene-Mlc2/gene-Prm/gene-Mhc/gene-Mlc1",6
"Benzamidine","GO:0005859","muscle myosin complex","4/205","10/9658",0.4,18.8448780487805,8.31396427919591,3.74517908469549e-05,0.00458853793043433,0.00442704989660691,"gene-bent/gene-LOC142986440/gene-Mhc/gene-Mlc1",4
"Benzamidine","GO:0055002","striated muscle cell development","11/205","121/9658",0.0909090909090909,4.28292682926829,5.35132360362245,5.00228430450669e-05,0.00579703580880803,0.00559301615614649,"gene-Csk/gene-bent/gene-LOC142986440/gene-Nacalpha/gene-Mlc2/gene-Prm/gene-TpnT/gene-Mhc/gene-Obsc/gene-LOC142974453/gene-wupA",11
"Benzamidine","GO:0051146","striated muscle cell differentiation","14/205","190/9658",0.0736842105263158,3.47142490372272,5.0665030885471,5.08204469333232e-05,0.00579703580880803,0.00559301615614649,"gene-Csk/gene-bent/gene-LOC142986440/gene-Nacalpha/gene-Mlc2/gene-Prm/gene-TpnT/gene-Mhc/gene-Mp20/gene-Obsc/gene-LOC142974453/gene-wupA/gene-Stim/gene-sgg",14
"Benzamidine","GO:0045214","sarcomere organization","7/205","47/9658",0.148936170212766,7.01670991177997,6.08887320882686,5.3612461074672e-05,0.0059116673745005,0.00570361340275107,"gene-bent/gene-LOC142986440/gene-TpnT/gene-Mhc/gene-Obsc/gene-LOC142974453/gene-wupA",7
"Benzamidine","GO:0061061","muscle structure development","22/205","415/9658",0.0530120481927711,2.49751395827211,4.59199776745977,6.77793206846817e-05,0.00723270944596539,0.00697816299884397,"gene-Csk/gene-bent/gene-LOC142986440/gene-Zasp66/gene-Nacalpha/gene-Mlc2/gene-Prm/gene-TpnT/gene-Mhc/gene-Mp20/gene-LOC142983795/gene-Obsc/gene-LOC142974453/gene-LOC142977753/gene-wupA/gene-Pdp1/gene-Stim/gene-LOC142980898/gene-LOC142987482/gene-LOC142986780/gene-Pax/gene-sgg",22
"Benzamidine","GO:0016460","myosin II complex","5/205","22/9658",0.227272727272727,10.7073170731707,6.71236211254916,8.05027578088186e-05,0.00808606534095482,0.00780148606687934,"gene-bent/gene-LOC142986440/gene-Mhc/gene-Mlc1/gene-TpnC25D",5
"Benzamidine","GO:0006413","translational initiation","10/205","106/9658",0.0943396226415094,4.44454670961804,5.2511094609737,8.06651016479773e-05,0.00808606534095482,0.00780148606687934,"gene-LOC142973394/gene-eIF3l/gene-RpL4/gene-RpS2/gene-RpL18A/gene-sta/gene-RpS24/gene-RpL12/gene-RpS20/gene-mIF2",10
"Benzamidine","GO:0055001","muscle cell development","11/205","130/9658",0.0846153846153846,3.98641651031895,5.04817494609758,9.64192695312967e-05,0.00938102775322146,0.00905087384578612,"gene-Csk/gene-bent/gene-LOC142986440/gene-Nacalpha/gene-Mlc2/gene-Prm/gene-TpnT/gene-Mhc/gene-Obsc/gene-LOC142974453/gene-wupA",11
"Benzamidine","GO:0098754","detoxification","8/205","70/9658",0.114285714285714,5.38425087108014,5.42117742985113,0.000109741729016367,0.0103721611310326,0.0100071254850414,"gene-GSTd2/gene-Zip99C/gene-Fer2LCH/gene-GSTd3/gene-LOC142975743/gene-LOC142986780/gene-Fer1HCH/gene-Fdh",8
"Benzamidine","GO:0010927","cellular component assembly involved in morphogenesis","12/205","156/9658",0.0769230769230769,3.62401500938086,4.8655766464132,0.000117069093861085,0.0105488807425441,0.0101776256639068,"gene-bent/gene-LOC142986440/gene-Nacalpha/gene-Mlc2/gene-Prm/gene-TpnT/gene-Mhc/gene-Obsc/gene-LOC142974453/gene-wupA/gene-LOC142985614/gene-Pax",12
"Benzamidine","GO:0022625","cytosolic large ribosomal subunit","7/205","53/9658",0.132075471698113,6.22236539346526,5.61396527944291,0.000117989294883353,0.0105488807425441,0.0101776256639068,"gene-RpL5/gene-RpL4/gene-RpL18A/gene-RpL10Ab/gene-RpL12/gene-RpL8/gene-RpL30",7
"Benzamidine","GO:0043050","nematode pharyngeal pumping","4/205","13/9658",0.307692307692308,14.4960600375235,7.17035700006923,0.00012127532174687,0.0105573359036486,0.010185783255859,"gene-Csk/gene-Mhc/gene-wupA/gene-Pax",4
"Benzamidine","GO:0050764","regulation of phagocytosis","7/205","55/9658",0.127272727272727,5.99609756097561,5.47169659808833,0.000149861675340717,0.0127113441545408,0.0122639837957639,"gene-Csk/gene-Atg3/gene-Rack1/gene-Stim/gene-awd/gene-LOC142987482/gene-sgg",7
"Benzamidine","GO:0051147","regulation of muscle cell differentiation","9/205","95/9658",0.0947368421052632,4.46326059050064,4.99531768402057,0.000177950841447877,0.0147165345877394,0.0141986039807885,"gene-bent/gene-Nacalpha/gene-Prm/gene-Tm2/gene-Mp20/gene-LOC142974453/gene-yps/gene-Pax/gene-sgg",9
"Benzamidine","GO:0044445","GO:0044445","12/205","164/9658",0.0731707317073171,3.44723378941106,4.65463882838579,0.000187986615048429,0.0151673103068342,0.0146335151945272,"gene-RpL5/gene-RpL4/gene-RpS2/gene-RpL18A/gene-sta/gene-RpS24/gene-RpL10Ab/gene-RpL12/gene-RpS23/gene-RpL8/gene-RpL30/gene-RpS20",12
"Benzamidine","GO:0042692","muscle cell differentiation","14/205","223/9658",0.062780269058296,2.95771628568304,4.35556450735542,0.000278693666052922,0.0219504439834064,0.0211779246985579,"gene-Csk/gene-bent/gene-LOC142986440/gene-Nacalpha/gene-Mlc2/gene-Prm/gene-TpnT/gene-Mhc/gene-Mp20/gene-Obsc/gene-LOC142974453/gene-wupA/gene-Stim/gene-sgg",14
"Benzamidine","GO:0031672","A band","7/205","61/9658",0.114754098360656,5.4063174730108,5.08377325497333,0.000289364582928439,0.0222608846587739,0.0214774397904291,"gene-bent/gene-Prm/gene-Mhc/gene-RpL4/gene-Obsc/gene-Mf/gene-Pax",7
"Benzamidine","GO:0031032","actomyosin structure organization","10/205","124/9658",0.0806451612903226,3.7993705743509,4.62005216565136,0.000296875565147434,0.0223196447615389,0.0215341319025602,"gene-bent/gene-LOC142986440/gene-Nacalpha/gene-Mlc2/gene-Prm/gene-TpnT/gene-Mhc/gene-Obsc/gene-LOC142974453/gene-wupA",10
"Benzamidine","GO:0070972","protein localization to endoplasmic reticulum","8/205","82/9658",0.0975609756097561,4.59631171921475,4.81598807649713,0.00033341196754805,0.0245094841921989,0.0236469025872675,"gene-RpL4/gene-RpS2/gene-RpL18A/gene-sta/gene-RpL12/gene-PPP1R15/gene-RpS20/gene-Spase22-23",8
"Benzamidine","GO:1901074","regulation of engulfment of apoptotic cell","4/205","17/9658",0.235294117647059,11.0852223816356,6.12861183469858,0.000377624742625984,0.0271561445349295,0.0262004169254458,"gene-Stim/gene-awd/gene-LOC142987482/gene-sgg",4
"Benzamidine","GO:0003779","actin binding","12/205","181/9658",0.0662983425414365,3.12346045007411,4.24679444859282,0.00046632600162222,0.0328214130503469,0.0316663031784675,"gene-bent/gene-LOC142986440/gene-Zasp66/gene-TpnT/gene-Mhc/gene-Tm2/gene-Mp20/gene-LOC142985541/gene-LOC142977753/gene-wupA/gene-LOC142979051/gene-LOC142983813",12
