"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"gene-LOC142976071",5419.17234588548,3.02948985554109,0.374018302964782,5.3846305803888e-17,1.5149730903202e-14,"up"
"gene-LOC142972444",270.099783831342,-4.42371623027062,0.549125676699745,5.69896056480544e-17,1.56121524946381e-14,"down"
"gene-yps",21316.056592475,2.03545021311779,0.249397131461578,6.96589639776916e-17,1.85935850001992e-14,"up"
"gene-LOC142984753",819.782081779873,4.70061666732207,0.589420478526742,1.00915713105091e-16,2.59490555778914e-14,"up"
"gene-LOC142981272",416.49286789899,3.31072498995156,0.412417885125292,1.02200891325029e-16,2.59490555778914e-14,"up"
"gene-SERCA",3892.56357678709,-4.84290546257823,0.610376049797575,1.04859268859944e-16,2.59901187817146e-14,"down"
"gene-mtgo",262.315661846529,-9.68423602583835,1.17487785982235,1.29655948055769e-16,3.0675418619558e-14,"down"
"gene-LOC142973342",27.7653733985266,-0.59543686144182,1.30529923760556,1.29461911453252e-16,3.0675418619558e-14,"down"
"gene-fry",207.040385151965,-3.45856631812851,0.434178501290226,1.65354258409265e-16,3.82519517786767e-14,"down"
"gene-Su(z)12",83.8646067395155,-7.18247923727866,0.881162368291876,2.58766444467042e-16,5.784242177966e-14,"down"
"gene-NP15.6",4588.28355732566,3.20298136527345,0.40439909410679,2.66708573047423e-16,5.784242177966e-14,"up"
"gene-MED9",684.010052038118,2.61560035999717,0.328828221111569,2.61994895465176e-16,5.784242177966e-14,"up"
"gene-mbf1",4855.6154778336,2.56065671903427,0.322276106827486,2.77291805101931e-16,5.89103610430837e-14,"up"
"gene-Btr175",8278.32248191059,-3.40242345382657,0.432472865363321,3.29041698114446e-16,6.85064815474276e-14,"down"
"gene-cut",142.298847365471,-3.93589771343288,0.501077232894248,3.73364132118417e-16,7.62102081441711e-14,"down"
"gene-LOC142973978",342.505933199238,-2.36707836713063,0.299808874717046,4.43295066146819e-16,8.87442622805459e-14,"down"
"gene-LOC142979614",474.85034003669,-0.359930411168876,1.11894187359134,4.59388878542169e-16,9.02309099174336e-14,"down"
"gene-SF1",351.155684344299,-5.81058833853728,0.746061969838345,7.77202164971534e-16,1.4982730624729e-13,"down"
"gene-brun",457.754906331938,-2.33058554932199,0.298089777835479,9.07989527424958e-16,1.71857654190797e-13,"down"
"gene-DCTN5-p25",967.650080523959,2.18871779824656,0.282910757594796,1.87869415543314e-15,3.49235824251053e-13,"up"
"gene-mTor",210.170214042011,-2.57852725069217,0.334804145476147,1.94180261054535e-15,3.54634476768018e-13,"down"
"gene-LOC142984078",331.226144404732,-4.00901162282555,0.526640123215769,2.18654633517724e-15,3.9244736808957e-13,"down"
"gene-Dscam1",217.89204510144,-4.78751491561895,0.63360781699,2.27200806172683e-15,4.00874642755531e-13,"down"
"gene-scrib",1399.63750836313,-2.69747482666598,0.353528686315432,2.66602567551627e-15,4.62555454702072e-13,"down"
"gene-LOC142980840",639.943105466206,-4.258651662394,0.564965202221854,3.02439776711492e-15,5.16130832060104e-13,"down"
"gene-LOC142985114",426.205980852887,-3.01144170065944,0.39738643226992,3.54782837534222e-15,5.95691828827622e-13,"down"
"gene-Srp14",1160.27031022739,2.26422055137133,0.297339917533102,4.41344389821102e-15,7.29269063180582e-13,"up"
"gene-LOC142987321",3603.36109144355,2.813064721064,0.371812399236892,4.56357905856009e-15,7.30874738455546e-13,"up"
"gene-zip",2614.08682761423,-2.66938354120798,0.352408200643388,4.53198163345189e-15,7.30874738455546e-13,"down"
"gene-Ranbp21",283.203276762406,-5.04550616263573,0.680055059198405,4.90120955097087e-15,7.73054415539497e-13,"down"
"gene-Acadvl",712.021624605198,-2.99515785290906,0.399045341421958,7.35098420856032e-15,1.12534920016343e-12,"down"
"gene-Cand1",406.15718406417,-2.40378874015391,0.319214304761742,7.24639807510162e-15,1.12534920016343e-12,"down"
"gene-LOC142983444",407.16325480966,-3.19268345035085,0.429641597253167,9.63695717314614e-15,1.45392353873118e-12,"down"
"gene-LOC142983778",197.831427112618,-2.3960407423674,0.320263634750178,1.04235273409001e-14,1.55012742312529e-12,"down"
"gene-l(2)gl",4903.36972944569,-3.84184984314877,0.520558582839916,1.24523348859296e-14,1.82575783327503e-12,"down"
"gene-Spt5",649.578474506663,-3.73880905640192,0.507163712907723,1.3215100705083e-14,1.91068331027659e-12,"down"
"gene-sip3",514.824371264034,-2.7894281451485,0.375842654874244,1.34474706438656e-14,1.91764615620056e-12,"down"
"gene-LOC142973627",210.599778831217,2.75218269557373,0.370345083538895,1.36800480355686e-14,1.92445000067931e-12,"up"
"gene-RpS23",43866.1819245104,2.76393262769236,0.372095831844256,1.42077234152109e-14,1.97203201003127e-12,"up"
"gene-Cka",383.570904085215,-4.27287537567836,0.58169283733967,1.59162632744794e-14,2.18010921957014e-12,"down"
"gene-C3G",343.981489963403,-3.08113545444867,0.416431784047686,1.64501408375411e-14,2.22397358595847e-12,"down"
"gene-LOC142979131",31750.1501169972,-4.69246516380604,0.642516719744924,1.79326483935861e-14,2.39331884329784e-12,"down"
"gene-eEF1delta",8344.08787295146,2.16187127503562,0.290322881827246,1.91777642961115e-14,2.52709526990532e-12,"up"
"gene-LOC142980159",288.930543675833,-3.71524784568028,0.504572111638323,1.95507655541171e-14,2.54404336772949e-12,"down"
"gene-osa",334.697089008424,-4.781300777031,0.661137992682804,2.48159292429643e-14,3.18930646196615e-12,"down"
"gene-LOC142981190",140.11634527024,-5.23573865632571,0.713087851431146,2.86286928718797e-14,3.63444747312521e-12,"down"
"gene-LOC142983967",2068.69006548035,-3.58345940250252,0.493819337762056,3.32846112433521e-14,4.17461208485898e-12,"down"
"gene-Abl",180.973369581669,-3.69552898957202,0.51010174601205,4.70022045994331e-14,5.82491607000118e-12,"down"
"gene-LOC142984570",4125.38306080243,2.52774258966524,0.348351333622533,4.82862305836483e-14,5.91364306324446e-12,"up"
"gene-LOC142973585",3583.98556119963,2.89880004382447,0.401052044539933,5.56681846047105e-14,6.73843955505856e-12,"up"
"gene-LOC142979245",2222.9700829593,2.8676997205577,0.396472150531222,6.10617491896915e-14,7.30635412718033e-12,"up"
"gene-LOC142976063",304.026414054245,0.380214119675433,1.12634912803528,6.62450455984704e-14,7.83648778045542e-12,"up"
"gene-ND-ACP",8350.95527005641,3.18796168404151,0.443944056978958,6.8427971741312e-14,8.00376613288829e-12,"up"
"gene-Taf1",286.463844448917,-2.40517930147166,0.333409090445108,8.23530228778831e-14,9.52549964620848e-12,"down"
"gene-LOC142982993",662.88068018118,-2.41476771084862,0.335273610877111,8.58588443511005e-14,9.82187439225226e-12,"down"
"gene-Cln7",351.526696717515,-3.80622476204256,0.53532679157521,8.73973490074496e-14,9.8892000344299e-12,"down"
"gene-RpS11",30777.6469155581,2.87258333521513,0.401355477527417,8.92202801650822e-14,9.98691523138178e-12,"up"
"gene-Dorsal",460.514280846635,-3.20253678720884,0.449939410643974,9.97884295947627e-14,1.10510377881009e-11,"down"
"gene-bc10",1394.88939182255,3.09782370910476,0.434690365212252,1.09913831278049e-13,1.20442419326788e-11,"up"
"gene-LOC142979662",420.289424579096,3.30226914407174,0.465195740725607,1.23127402577731e-13,1.33516277170227e-11,"up"
"gene-Upf1",516.480902659363,-3.41694222103401,0.481970124739903,1.36129699218939e-13,1.46093831842181e-11,"down"
"gene-fray",571.144196530678,-2.4759149952019,0.348036653390363,1.5187980526771e-13,1.61333548248659e-11,"down"
