"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"gene-Srp14",1160.27031022739,2.5366043481947,0.29711199870091,1.9574313913534e-18,9.26220944726766e-16,"up"
"gene-Su(z)12",83.8646067395155,-6.04666049826601,0.714429140559412,3.47712927723873e-18,1.57377894678501e-15,"down"
"gene-LOC142972305",143.081170623395,-5.18720537397835,0.618484451714015,4.43619170863731e-18,1.92419815362143e-15,"down"
"gene-Btr175",8278.32248191059,-3.58949796072876,0.432264070694321,8.6946775725348e-18,3.62046374120349e-15,"down"
"gene-ND-13A",3996.88977429076,3.50975176455939,0.423339268064831,1.01527987775667e-17,4.06502443363344e-15,"up"
"gene-LOC142981190",140.11634527024,-6.7498750074657,0.813724582037147,1.18288461974326e-17,4.56067736723235e-15,"down"
"gene-brun",457.754906331938,-2.48175829892093,0.298647672325211,1.42703774231643e-17,5.30552246339788e-15,"down"
"gene-LOC142981931",314.095308686948,-9.420433267186,1.1232088625601,1.5376505141249e-17,5.51963512139316e-15,"down"
"gene-Cka",383.570904085215,-4.82783260629858,0.588844107139309,1.64245703084244e-17,5.69932589702326e-15,"down"
"gene-hfp",424.911416276023,-4.46065086522766,0.547941648241234,2.95277735397741e-17,9.91561685642091e-15,"down"
"gene-LOC142972148",5918.98572779891,4.35821449198694,0.537108246274631,3.71896274975402e-17,1.20982506952936e-14,"up"
"gene-IscU",3594.87197966974,3.37392990292432,0.417341514993361,6.16675312840846e-17,1.94533030505249e-14,"up"
"gene-LOC142977612",4265.58417495126,4.03866370977804,0.502016714215028,6.94816300763319e-17,2.12736402674887e-14,"up"
"gene-LOC142972444",270.099783831342,-4.39192942309718,0.548070901205459,8.42990054990754e-17,2.50729327784393e-14,"down"
"gene-LOC142980122",928.00247691394,-8.26539866548545,1.03910650824515,9.72349360537412e-17,2.81171023422068e-14,"down"
"gene-Sir-1",133.26860089249,-5.93420199501611,0.743692870346171,1.18525614930813e-16,3.33473419305342e-14,"down"
"gene-Stam",1276.06727054575,-5.9762589840104,0.755739939829732,1.45261899822137e-16,3.87737532602165e-14,"down"
"gene-Uba1",4359.98310631197,-5.46722031593206,0.691653269745914,1.43624257838707e-16,3.87737532602165e-14,"down"
"gene-Cnot4",933.061818660432,-2.8484888779253,0.356450379412715,1.52780347208725e-16,3.97610853610707e-14,"down"
"gene-mRpL49",1384.88962323027,2.98454167207726,0.373885321278967,1.61398742553555e-16,4.09795343898173e-14,"up"
"gene-LOC142985080",202.802684739061,-3.64431065623893,0.45922934437639,1.94846377641991e-16,4.82940664584078e-14,"down"
"gene-nej",200.599728684693,-5.16098716874494,0.654520677915679,2.19489352117316e-16,5.31368408265408e-14,"down"
"gene-LOC142984753",819.782081779873,4.63245766037022,0.589573906407312,2.61002168700431e-16,6.15731791429166e-14,"up"
"gene-LOC142975301",188.78525091031,-4.34806524486811,0.552041753907413,2.66166480444884e-16,6.15731791429166e-14,"down"
"gene-fliI",421.885947861368,-3.66404635476766,0.466244476740917,3.36744283720256e-16,7.3690689952772e-14,"down"
"gene-LOC142976071",5419.17234588548,2.94746190821128,0.374012247435556,3.39784161165519e-16,7.3690689952772e-14,"up"
"gene-Atg16",207.65594110411,-2.72826099252295,0.344834308042307,3.26255335425216e-16,7.3690689952772e-14,"down"
"gene-Cisd2",6458.58490337598,3.52475387191235,0.448879859155386,3.76865101854534e-16,8.00646063327693e-14,"up"
"gene-SF1",351.155684344299,-5.87342516998348,0.755397657444078,4.93478911330868e-16,1.02742309339087e-13,"down"
"gene-LOC142972320",607.504899110749,-3.52474447290915,0.453524211055309,6.96587503355091e-16,1.42185802155422e-13,"down"
"gene-Sin3A",1730.73482028527,-6.69600265887347,0.873329446123104,7.58805261837435e-16,1.51906976456302e-13,"down"
"gene-ND-ASHI",6812.44080062756,3.67130671149698,0.473546808360056,8.00690828667433e-16,1.57267764649584e-13,"up"
"gene-LOC142973627",210.599778831217,2.86820086775792,0.369330711073907,9.77436562233563e-16,1.88428048386137e-13,"up"
"gene-Wnk",1071.72894347888,-5.17551413289412,0.676680302379328,1.24006105491849e-15,2.34709737849117e-13,"down"
"gene-LOC142983263",210.579689737718,-3.07098434701765,0.398678196760449,1.40161418414385e-15,2.60550065302456e-13,"down"
"gene-LOC142978499",3948.06540065794,2.75882405670035,0.357830553544963,1.46089346750961e-15,2.66805280645175e-13,"up"
