gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation
gene-LOC142972586,80.55549608636396,1.5660669481733998,0.6281287228839176,2.9549419789205227,0.0031272785778579,0.0101639099594922,up
gene-puml,1294.5000505432818,-1.3028357352953135,0.4961900389708491,-2.953938279925764,0.0031374674706182,0.0101937053464324,down
gene-SOCS5,282.005011895116,-1.2975473600354723,0.4940362535269511,-2.9534850631968426,0.0031420781390173,0.0102053634577065,down
gene-LOC142979398,27.585119967265783,-2.692456206677421,1.4359546963690095,-2.953200602472733,0.0031449751714702,0.0102114499630593,down
gene-Ugalt,451.10329785988114,1.405333913842672,0.544668517541043,2.9518248162338057,0.0031590209833339,0.0102523714416135,up
gene-LOC142974050,121.0780326746172,2.1019357789009123,0.9670304055531282,2.9517650197900496,0.0031596327576799,0.0102523714416135,up
gene-Epp,439.63223142142095,2.176394322419028,1.0214691047693891,2.951552355699393,0.0031618093881804,0.0102560999361161,up
gene-ash1,135.4553424506685,-1.0738334274572523,0.392156624371365,-2.9513696330602026,0.0031636806575871,0.0102563795726968,down
gene-Rab40,696.6915005642667,-1.3218678583674883,0.5058685874634973,-2.951343265029612,0.0031639507769094,0.0102563795726968,down
gene-LOC142980248,493.9114957635173,-1.1405935018525115,0.4216742947742461,-2.9510185584993063,0.0031672788586528,0.0102638345091603,down
gene-LOC142978237,94.03800602195132,1.1495947089247875,0.4244639136722963,2.9503827015783317,0.0031738053223152,0.0102816458688831,up
gene-Hmt4-20,251.9022528281832,-1.2515489370012798,0.4727123224482477,-2.950151194558904,0.0031761845628333,0.0102860149648408,down
gene-Rrp40,249.27327015116512,1.143501975818165,0.4216758810671042,2.9488855535482337,0.0031892205508593,0.0103248817120099,up
gene-LOC142979583,135.7347793550711,-2.516681717944393,1.2952363683519452,-2.9481644962666214,0.003196669161206,0.0103456403690006,down
gene-Set8,115.46868214637978,-1.373741751658311,0.5322751173103148,-2.947876580728909,0.0031996477906944,0.0103485692154639,down
gene-LOC142978945,20.962274045713407,-1.8726672212360904,0.8024714003535085,-2.947936205046371,0.0031990307398794,0.0103485692154639,down
gene-RpS14,16041.506918841693,1.0337443526034082,0.3769565536609235,2.9467916673349785,0.003210894496253,0.01038158016427,up
gene-LOC142979371,81.96007684325697,-2.051975449040561,0.931700589821429,-2.946472762053396,0.0032142072576859,0.0103889257250527,down
gene-LOC142977162,368.8320428505517,1.9456410187609847,0.860669473864191,2.94609300497968,0.0032181562050261,0.0103983221373797,up
gene-Phf5a,102.81625220656402,1.7756591962694603,0.7516458722441169,2.945017664368157,0.0032293622531174,0.0104311536078852,up
gene-Pisd,13.968586329140324,-2.6218512605074737,1.336268877980427,-2.944724032120649,0.0032324283477466,0.0104376795014104,down
gene-LOC142974877,82.32126070399649,3.6184360400509146,4.654983171927176,2.94377024144363,0.0032424060972882,0.0104665120494935,up
gene-TyrRS-m,72.2094235273664,1.8138782627612504,0.7769648379485949,2.94042263249635,0.0032776484345461,0.0105756402153612,up
gene-LOC142978434,4811.532646916679,2.4735021815462623,1.2720996888840186,2.9402711013682623,0.0032792519203317,0.0105756402153612,up
gene-LOC142986025,39.52447711889686,-2.883609042209562,1.617078744767376,-2.9402579150323245,0.0032793914904862,0.0105756402153612,down
gene-mTTF,211.9375787146936,1.2696384481936798,0.4810685378818256,2.939731070830866,0.0032849722774447,0.010590215859553,up
gene-Mo25,879.1089773777225,0.9963406526700532,0.3600944523409127,2.939335840071405,0.0032891645796053,0.0106003072873882,up
gene-LOC142986218,36.23202666082762,1.4109851818333123,0.550508919212452,2.9389878846420667,0.0032928594550855,0.0106087896130435,up
gene-geminin,170.79710260951904,1.1840356633041471,0.4417326305965861,2.93845333379709,0.0032985431195728,0.0106236717897569,up
gene-sw,258.244346109788,-1.5965071130345545,0.6532844284299013,-2.938150481973665,0.0033017671855212,0.0106306252511894,down
gene-LOC142987507,929.3586994054646,-1.3240756613680984,0.5105114553892671,-2.9365216112069565,0.0033191569230997,0.0106831684132405,down
gene-LOC142983467,93.88783328362128,-1.3523520804822995,0.5241805112556346,-2.935696841488516,0.00332799389601,0.0107081583095023,down
gene-LOC142972920,10.088629594546296,3.2974261288027296,2.167591375765119,2.935037633584334,0.0033350723629103,0.0107274757506309,up
gene-LOC142978692,170.03757128383089,-0.9315646226014194,0.3351882829936616,-2.934222903193819,0.0033438397489169,0.0107522115122231,down
gene-LOC142982131,79.87127843333707,1.4581006574454207,0.576262099071879,2.9330089286095444,0.0033569423789937,0.010787392751042,up
gene-LOC142986305,976.011194151741,-2.5770745333009963,1.3855314819347964,-2.93304924956437,0.0033565064386477,0.010787392751042,down
gene-Gyf,259.5394548215814,-0.843816848289467,0.3002405945873003,-2.9327021987541166,0.0033602603558246,0.0107943235146776,down
gene-LOC142977187,546.199835517642,1.2170773060221336,0.4582429707021331,2.9326096425808665,0.00336126214644,0.0107943235146776,up
gene-SPoCk,168.85261742096205,-1.619344091629244,0.667900721354484,-2.931058732389875,0.0033780890804029,0.010844872020425,down
gene-LOC142977538,8220.703521353424,2.2442814410329524,1.0904296679839662,2.929523542363281,0.0033948209584618,0.0108950829538286,up
gene-Prosalpha7,3495.385790051167,1.0401944279462516,0.3809457713865017,2.929195982546948,0.0033984007517427,0.0109030658640772,up
gene-rictor,83.74373150889862,-0.9825914911614232,0.3567016062849719,-2.9289672744740405,0.0034009022640456,0.0109055077224735,down
gene-LOC142978487,23.390597389519595,-2.4922682559206533,1.250387751941059,-2.9289266188511807,0.0034013471135217,0.0109055077224735,down
