gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation
gene-eIF1,16397.185596864612,2.1724557343920017,0.3140691820017765,7.181181097642659,6.911173257520999e-13,5.5111207374622535e-11,up
gene-RpL26,25777.403452967326,2.7104784444628645,0.395947937266042,7.178546741754547,7.045630362764732e-13,5.574786752925551e-11,up
gene-LOC142983254,2494.1870763546176,3.271281255673798,0.4839380856131463,7.16032347664327,8.048691088257212e-13,6.319460764449336e-11,up
gene-E(bx),203.73321550907792,-2.346332671300908,0.3421241796402903,-7.151860585725503,8.560949361724088e-13,6.67035191871128e-11,down
gene-RpS10b,26641.317145257013,2.600592425235176,0.381181909911076,7.149583692175929,8.704146771600048e-13,6.73054743164558e-11,up
gene-Npl4,523.7863990820111,-3.792064657697857,0.5631148872169142,-7.1433664394932,9.107241134478346e-13,6.989294004482742e-11,down
gene-MagR,1079.4300609996665,2.08646984686449,0.3027465437054922,7.139318501044262,9.379477472825026e-13,7.144501982472019e-11,up
gene-Uba1,4065.154869366113,-4.415276095219933,0.6583237810297251,-7.135133204664171,9.669347427150657e-13,7.310742902883464e-11,down
gene-Srp19,1244.9312714230066,2.293734460754664,0.335280313129188,7.114745477867488,1.1211954789920222e-12,8.324790283925462e-11,up
gene-LOC142987402,3442.051376872301,2.996853402090246,0.4429113335858174,7.1152093012245805,1.117431310118872e-12,8.324790283925462e-11,up
gene-LOC142977612,4224.116229338982,3.4685820659380027,0.5153704064223064,7.114214154458802,1.1255227384948699e-12,8.324790283925462e-11,up
gene-Isha,310.417008334561,-3.571886280250148,0.5329247376356728,-7.099571064767709,1.2514468303751326e-12,9.18958114938056e-11,down
gene-Nacalpha,5690.148783660347,1.7784332947076062,0.25889942248183,7.064636445743486,1.6103704102937825e-12,1.1740750555620455e-10,up
gene-rin,1116.8756446124523,-4.267311744244243,0.6453781450405914,-7.056191211362861,1.711283082911046e-12,1.2387990373952515e-10,down
gene-MED21,636.9088013052707,2.200166063744186,0.3242350881880044,7.050662763329674,1.780675864076205e-12,1.2799548270863256e-10,up
gene-RpL36A,27314.73335328505,2.7990943311157426,0.4187423405684407,7.035566357431936,1.9845324237910444e-12,1.4165120594150482e-10,up
gene-LOC142978054,931.6459153412076,-2.7832259231830885,0.4159889735236026,-7.026123637991787,2.1235031096522423e-12,1.4947997407048575e-10,down
gene-LOC142975815,1636.745070557655,-6.076249414122356,0.9286130873318724,-7.026732288075417,2.114264662648484e-12,1.4947997407048575e-10,down
gene-Cul2,125.52374160425632,-4.753277191750509,0.7309285701748777,-7.0159874615571605,2.283305315128345e-12,1.5962806405147273e-10,down
gene-osa,363.9980252830582,-4.924144565092566,0.7530164010068254,-7.0103602231093305,2.3770531417040817e-12,1.6505157426784734e-10,down
gene-LOC142980021,14380.392507449282,2.938242867792621,0.4417593669816412,7.001577435346153,2.5309647635258997e-12,1.7455106311695171e-10,up
gene-LOC142975468,1309.9576159749,2.563495562918197,0.3834349528031835,6.997471446042768,2.6062315528122747e-12,1.7853560711110658e-10,up
gene-RpL38,9983.417243199116,2.75848994721214,0.4140058525560485,6.993070908314316,2.689334965008837e-12,1.8300027991896799e-10,up
