	ID-1	ID-2	ID-3	ID-5	ID-7	ID-8	ID-9	ID-10	ID-12	ID-14	ID-15	ID-16	ID-18
gene-Amy	54189	337	1600	1080	998	6914	5967	1597	24078	11648	11262	3603	41
gene-an-0128	102	81	3299	95	472	1416	71	137	282	39	210	52	160
gene-an-0147	79	719	60	823	34	92	342	1434	514	758	420	843	813
gene-an-0895	0	2	0	0	0	0	0	0	0	0	0	0	0
gene-ana1	266	432	1198	65	885	30	42	24	10	21	16	46	230
gene-Ance-3	56	23	9	58	31	0	10	14	12	20	27	6	102
gene-anchor	787	187	354	241	127	196	168	114	110	93	152	218	211
gene-Ankle2	286	626	4046	398	1215	185	60	56	43	63	35	41	932
gene-Ankrd49	200	139	115	228	70	108	485	354	943	403	585	827	140
gene-anne	163	120	603	94	395	101	20	23	13	37	29	65	77
gene-AnnIX	7216	5525	5018	10927	3925	12007	8558	3551	8439	6317	5224	5552	21157
gene-Ant	55438	52588	69338	83627	57439	79121	20033	10327	15221	18480	21598	11811	160114
gene-AnxB10	435	303	236	367	222	796	212	162	337	170	204	262	1390
gene-Anxb13	941	2209	8729	602	4352	827	166	200	167	168	161	185	2555
gene-aop	2169	929	94	3603	55	669	396	380	261	441	286	330	1791
gene-aos	0	1	2	5	16	0	0	1	4	4	0	0	79
gene-Aos1	227	140	247	375	234	257	322	318	718	351	838	699	985
gene-Aox1	0	9	7	1	8	0	0	0	0	3	0	12	2
gene-ap	0	1	4	7	0	0	0	0	0	1	4	2	0
gene-AP-1-2beta	1562	777	1108	2028	619	904	152	84	198	336	235	312	1873
gene-AP-1gamma	5309	4882	6910	3795	2880	876	580	347	276	729	869	654	1379
gene-AP-1mu	2385	1910	2383	3112	969	864	2226	1432	3777	3125	3959	4349	1598
gene-AP-1sigma	1373	546	716	1469	353	682	2162	1032	2280	1553	3010	2807	850
gene-AP-2alpha	381	188	390	350	185	157	148	106	149	185	243	163	1455
gene-AP-2mu	598	325	536	721	170	277	216	119	224	262	254	191	1286
gene-AP-2sigma	297	228	339	293	207	264	284	155	349	234	373	308	1342
gene-Apaf-1	604	738	1205	1030	722	148	181	110	54	118	70	93	427
gene-APC10	521	598	743	370	557	156	946	1158	1297	968	1224	1689	225
gene-APC4	163	90	174	168	52	103	292	49	154	205	134	191	114
gene-ApepP	1327	506	443	1493	308	800	428	212	460	361	559	404	3995
gene-Apf	421	294	342	259	320	431	1076	846	2160	662	2064	2097	202
gene-aph-1	397	222	330	432	170	115	300	222	315	248	318	242	357
gene-aPKC	3322	3260	4952	2443	1571	800	659	333	269	415	305	264	665
gene-Aplip1	2	0	0	0	0	0	0	0	0	0	0	3	4
gene-apn	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-Apn1	83102	24808	10617	230138	7516	56125	12417	4885	10613	16799	14860	22563	0
gene-Apn2	24293	2692	7491	21645	2179	12667	4091	1227	2754	8177	5916	5862	0
gene-Apn3	31046	14935	1056	201970	1530	32165	8457	3388	5389	17800	10996	7699	0
gene-Apn4	30675	20636	21727	201015	12440	42421	2602	915	1171	5473	5231	3222	1
gene-apolpp	8545	995	35	5	1812	88	3	0	81	5	369	5	155642
gene-Apoltp	734	524	896	444	538	251	119	54	93	85	94	88	1559
gene-app	767	370	436	686	291	428	36	11	21	5	16	11	289
gene-APP-BP1	188	98	142	188	43	40	254	116	377	285	424	512	281
gene-Appl	25	48	147	19	186	70	0	6	8	3	26	2	556
gene-Aprt	90	57	80	87	4	18	113	31	92	43	96	107	105
gene-Aps	2097	1806	2648	2260	2239	1131	5136	3477	10553	4158	5796	4081	2940
gene-Apt1	1456	1034	697	1305	684	696	1740	902	2470	1601	3003	3241	1215
gene-Aptx	38	54	33	83	23	11	130	77	264	175	231	375	48
gene-AQP	46	58	14	87	47	440	93	68	79	69	94	31	532
gene-aralar1	1201	402	234	979	209	1364	775	307	774	808	1301	1087	1271
gene-Arc42	426	465	380	225	193	98	305	215	418	297	459	347	740
gene-Archease	894	649	467	1188	341	661	3095	2489	6954	2995	6370	6332	875
gene-Arf102F	2453	1951	2830	2287	862	767	3220	2956	4127	3615	4031	5033	1343
gene-Arf51F	1563	698	367	1046	320	931	625	316	1246	672	1494	1201	1603
gene-Arf79F	8213	5010	4860	13934	3519	6157	9262	5641	13884	9593	17364	13528	14162
gene-ArfGAP1	445	299	433	710	188	201	175	95	210	163	356	224	1270
gene-ArfGAP3	1753	465	576	1403	436	861	262	108	140	258	732	442	2612
gene-Arfip	138	41	65	205	74	155	16	19	23	30	36	47	416
gene-Arfrp1	885	1473	2243	1342	1299	568	2166	1563	2316	1978	1739	1831	644
gene-arg	32	5	0	0	0	0	1	0	16	0	44	0	6
gene-Argl	55	14	14	3	3	0	8	5	16	16	19	0	536
gene-Arglu1	794	472	985	787	438	565	257	143	262	508	790	450	1440
gene-ArgRS-m	92	227	368	119	130	89	90	84	72	110	132	94	46
gene-ari-1	2709	2641	5145	2267	2350	663	732	300	581	502	395	518	2854
