	ID-1	ID-2	ID-3	ID-5	ID-7	ID-8	ID-9	ID-10	ID-12	ID-14	ID-15	ID-16	ID-18
gene-LOC142972755	0.724617	1.42387	5.555744	0.202368	13.031157	2.544003	0.313704	0.219095	0.36039	0.404653	1.023268	0.338568	30.452993
gene-LOC142972757	0.02505	0	0.17023	0	0	0	0	0	0	0	0	0	0.111053
gene-LOC142972759	5.581775	6.165724	15.40726	5.756917	14.120651	2.047013	8.916765	8.380796	4.345511	5.938688	5.149284	9.878851	9.149039
gene-LOC142972763	0.042944	0.017731	0.080871	0.051484	0.029049	0	0	0	0	0.017475	0	0.102948	0
gene-LOC142972764	0	0.175296	4.285654	0.065946	0	22.93382	0.242878	0.153661	0.057742	0.04916	0	0	7.746823
gene-LOC142972765	0.402204	0.863745	3.469984	0.250484	0.301338	0	0.329896	0.058497	0.054465	0.057164	0	0.096134	0.883465
gene-LOC142972767	0	0	0	0	0	0	0	0	0	0	0	0.037063	0
gene-LOC142972768	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142972769	0.016214	0.025832	0.076849	0	0	0	0	0	0	0	0	0	0.046991
gene-LOC142972770	0	0	0.063058	0.88539	0	0	23.913169	0	10.911789	3.806029	4.353226	0.197304	2.298297
gene-LOC142972771	0	0	0	0	0	0	0	0	0.095262	0	0	0	12.167776
gene-LOC142972773	0	0	2.627787	0.787196	0	0	21.671753	0	12.189028	0.385866	0.097358	0	0.134044
gene-LOC142972775	0	0.014362	0.217529	0.020406	0.985859	0.40671	0	0.105757	0.096148	0	0.025873	0	46.171308
gene-LOC142972778	257.601043	109.025466	231.942081	70.225738	80.932113	56.630278	95.865213	56.977193	82.856239	100.347089	89.246738	92.961435	51.507247
gene-LOC142972779	18.778509	19.139426	54.096687	12.32706	23.144386	2.713388	8.419817	4.89023	2.921466	3.894443	2.954279	4.288574	12.464185
gene-LOC142972780	0.141628	0.223269	1.386615	0	0.568058	0.348552	0	0.345171	0.031326	0.122607	0.104516	0.247377	0
gene-LOC142972783	3.115592	3.113787	13.78784	22.874517	15.422549	3.991463	3.741227	2.221116	2.24784	3.789297	6.452352	4.021137	32.586383
gene-LOC142972785	0.027477	0.038988	0	0.109143	0	0	0.043603	0	0	0	0	0.014724	0.609757
gene-LOC142972787	0.04244	0.020706	0.010202	0.030284	0.329923	0.13257	0.039562	0	0.011551	0.013464	0	0	0.114972
gene-LOC142972789	0	0	0	0.206875	0	2.199459	1.978487	2.471805	3.750803	2.266455	3.942054	0	0
gene-LOC142972790	0.03663	0.009625	0	0	0	0	0	0.052136	0	0	0	0	0.081506
gene-LOC142972791	17.838482	34.067665	24.981416	14.784885	56.241381	7.006959	16.030809	33.108635	14.796777	15.97748	18.100872	15.57108	0
gene-LOC142972793	28.407896	87.612668	386.470718	20.254695	124.1997	7.163969	17.33902	12.322386	4.571509	20.810034	5.822725	8.010659	0.079227
gene-LOC142972794	106.106749	331.176733	500.74054	116.334844	304.115382	27.791273	74.657559	58.840142	29.803213	30.708481	20.324483	57.726884	0
gene-LOC142972795	10.014418	14.975172	1.382217	11.272175	0.772384	1.017061	8.033527	14.776167	5.223802	26.12263	9.122831	2.638367	0
gene-LOC142972796	0.244745	2.552295	51.204622	0.240065	24.33855	7.435383	0.394268	0.399556	0.388272	0.138554	0.308658	0.05093	0.484996
gene-LOC142972797	0	0.017779	0	0	0	0	0	0	0	0	0	0	0.677374
gene-LOC142972798	1.131322	0.996677	2.011001	2.091334	0.035203	0.205173	0.982139	1.117074	1.249955	1.16915	1.577068	1.033008	1.576804
gene-LOC142972799	5.885483	5.960555	19.919712	15.012057	20.576359	5.743061	14.808609	12.109079	7.972623	9.27403	8.749251	10.507644	10.09288
gene-LOC142972800	0.711899	0.981432	1.746786	7.367053	0.611225	0.867626	1.650482	0.489161	0.514899	0.967675	1.079965	1.274083	1.588233
gene-LOC142972802	0.336718	0.345907	1.032763	0.694814	0.132955	0	0.310721	0.069223	0.025819	0.148489	0.058433	0.020327	0.398281
gene-LOC142972804	39.928847	34.890849	70.844836	37.661805	39.414215	14.006367	27.21328	18.61526	17.686272	18.890428	17.074206	19.424433	18.50291
gene-LOC142972808	0	0	0	0.126411	0	0	0.079265	0	0	0	0	0	0
gene-LOC142972809	0.367128	4.44397	6.073952	3.561855	5.368899	0	14.183104	0.360743	3.666742	3.424943	1.13561	20.850382	2.804941
gene-LOC142972810	1276.054884	752.534088	1373.589455	1484.782688	771.455658	195.204596	139.871913	77.643833	59.967084	120.655239	99.746753	148.554578	237.72899
gene-LOC142972811	1.751756	0.463107	2.000901	10.697976	1.342087	1.260806	9.477224	1.710493	5.451104	18.005549	11.015354	4.742085	0.157329
gene-LOC142972812	0	0	0	0	0	0	0	0	0.063067	0	0	0.223503	0
gene-LOC142972813	1.543623	13.823794	43.012474	5.925202	37.105285	0	3.019217	3.697751	1.508168	0.55346	0.405424	1.615574	24.367989
gene-LOC142972814	2.115667	2.854285	15.058861	5.99012	23.525505	1.959336	4.499212	2.480518	3.232123	2.389262	0.862914	0.657252	114.869697
gene-LOC142972815	0	0.017794	0.039644	0	0	0	0	0	0	0.01736	0	0	0.152287
gene-LOC142972817	0.0912	0.049346	0.486615	0.07191	0	0	0.253359	0	0.248488	0.191508	0.197482	0.120172	6.986313
gene-LOC142972818	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142972820	0.801736	1.649466	3.742502	0.26026	2.113436	0.471105	0.118625	0.548652	1.164443	1.014785	0.292634	0	0
gene-LOC142972823	0	0.040666	0	0	0	0	0	0	0	0	0	0.037416	0
gene-LOC142972827	0.910709	2.859011	2.064839	0.96105	0.103209	0.784373	11.887705	0.325411	9.185001	0.984027	12.037306	2.51273	1017.907733
gene-LOC142972828	0.209201	4.338656	0.289546	8.364577	1.502554	1.377498	0.691961	0.020532	0.337596	0	1.756802	0.153488	44.540254
gene-LOC142972829	0.597824	0.749481	1.932896	2.965385	12.313326	57.368658	29.803109	28.887949	36.111959	13.132611	14.074926	1.503822	0.915719
gene-LOC142972830	1.122482	0.576871	7.703319	0.281824	5.935357	56.017445	0	5.044268	2.598027	0.486554	2.092011	1.75368	7.443
gene-LOC142972831	0	0	0	0	0	0	0	0	0	0	0	0	0.060208
gene-LOC142972832	0.230961	0	0.125849	0.085876	0.297551	0.270675	0.319308	0.6286	0.02517	0	0	0.029783	0.472608
gene-LOC142972833	0	0.027448	0	0	0.354967	0.145787	0	0	0	0	0	0	47.415713
gene-LOC142972835	7.480745	3.393607	10.607379	6.722301	14.335662	3.129533	1.395167	0.74866	0.50923	0.882105	0.893097	0.949064	68.146203
gene-LOC142972836	1.439524	1.069426	1.716717	2.276284	0.354365	0.404993	0.103175	0.073947	0.534169	0.156507	0.161467	0.140201	2.728422
gene-LOC142972840	0.374795	0.017226	0.0746	0.168286	0	0	0.579866	3.012373	0.01362	0.183351	0.315463	0	0.408971
gene-LOC142972841	7.742925	4.578376	6.492196	15.651489	9.0863	10.762544	7.164829	6.003476	6.530837	7.630203	9.645406	10.313189	11.415836
gene-LOC142972842	0.257632	0.215662	0.075607	0.488414	0.173655	0.245699	0.193156	0.170146	0.465952	0.443825	0.329443	0.102411	1.578155
gene-LOC142972843	0	0.025048	0	0	0	0	0	0	0.056758	0	0	0	0
gene-LOC142972844	1.193566	0.890127	1.51839	0.929067	1.26167	0.954954	0.15545	0.291142	0.076429	0.1932	0.175023	0.186875	0.953833
gene-LOC142972849	2.368169	1.381642	2.308795	4.776656	0	0.715603	0.60127	0.523837	0.132873	0.106767	0.179796	0.177339	6.769052
gene-LOC142972852	27.920248	7.481522	23.755445	37.851534	11.946526	20.212221	21.379451	13.561704	22.083147	28.234612	57.866762	37.460354	12.132247
gene-LOC142972853	25.169462	13.077496	44.760425	0.576407	16.858806	4.210482	9.855066	19.467425	16.818753	13.849302	9.890642	14.345319	24.216576
gene-LOC142972855	29.793712	28.042564	34.277503	14.228928	67.893217	33.404786	7.574575	22.487935	16.647089	24.327319	16.371235	25.557771	3.025588
gene-LOC142972856	16.069919	8.006809	29.024382	9.572494	14.537233	3.306331	1.841869	1.099416	0.918779	1.840874	1.265409	1.232246	10.09101
gene-LOC142972857	0.40234	0.847161	0.318603	0.16259	1.061224	0	0	0	0	0	0	0	0
gene-LOC142972859	29.883225	44.081806	118.462029	47.996949	92.916805	10.602274	18.684169	22.332797	10.444656	24.307506	10.017235	17.682396	14.156243
gene-LOC142972863	1.002172	0.508153	1.011598	0.567323	0.374253	0.266138	0.132629	0.131142	0.094851	0.112837	0.060871	0.147198	2.071665
gene-LOC142972864	0.122409	0.032211	0.050284	0.040707	0	1.057845	0.055902	0.025415	0.047872	0.041942	0.056819	0	1.099339
gene-LOC142972870	0	0	0.103504	0	0.031811	0	0.094935	0	0	0	0	0	0.08603
gene-LOC142972872	12.287724	9.913152	0.827568	103.585809	0.195984	2.143744	16.531329	360.937472	0.537701	20.135039	0.671111	0.131041	0
gene-LOC142972873	0.034224	0.031105	0	0	0.406699	0	0	0	0	0.060445	0	0	0
gene-LOC142972874	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142972877	130.374996	3.754529	1.263436	0.409145	5.002221	0	2.188199	2.721153	52.783143	0.112309	139.347085	0.253231	22.183175
gene-LOC142972878	152.293847	90.055165	32.597053	240.001687	58.735402	52.861886	730.278499	2127.086427	74.194378	386.071024	32.00284	5.277039	0
gene-LOC142972879	2970.067607	614.011685	7874.017003	549.004124	3361.282753	238.809294	1630.593431	1898.471184	1150.204795	741.586428	807.682795	1308.616203	0.506253
gene-LOC142972880	26.102501	0.179336	12.76089	0.079866	11.984796	0.590878	10.958886	1.350573	11.770177	0.086625	58.178864	1.683936	5.837307
gene-LOC142972881	4.934592	0.666611	13.288602	7.577911	22.494614	188.372434	22.18557	45.87256	37.199165	10.449413	64.46361	2.141704	2.268766
gene-LOC142972882	3.048522	0.38	1.265742	1.371623	10.3749	28.330174	10.060763	8.197018	9.614037	3.957633	5.138164	0.41854	1.771866
gene-LOC142972883	1004.897857	673.004321	172.541818	1991.984726	181.569837	81.471982	5769.160292	18223.162372	316.955077	2391.707486	144.820807	33.263675	0
gene-LOC142972884	70.04516	11.743332	167.313129	4.905073	121.324645	0.457391	19.51789	59.456525	16.276089	1.795197	43.873705	3.169799	0.807633
gene-LOC142972885	2.722236	0.190642	10.417879	4.220742	14.165749	112.199486	13.164772	22.251585	23.543261	6.093285	34.620528	1.451245	1.724725
gene-LOC142972886	40.574585	2.759209	13.946753	2.766993	17.731237	1.568635	18.985996	8.220317	19.576262	1.214682	48.039854	15.087157	0.145109
gene-LOC142972887	3.098618	0.208915	0.04405	0.040403	0	0.598027	0.328886	0.037871	3.853152	0.378625	19.953028	0.35073	0.111602
gene-LOC142972888	0.003666	0.02436	0.080444	0	0	0	0	0	0.002546	0.010033	0.008958	0.006028	25.274876
gene-LOC142972889	287.780486	233.26392	54.234544	612.109797	83.944785	154.859398	1651.804111	5533.387155	107.293379	1002.210748	56.457551	12.876759	0
gene-LOC142972890	0.021084	0.020242	0	0	0.060751	0	0	0	0	0	0	0	0.969093
