pfam_accession,genes_com_dominio_universo,genes_com_dominio_DE,odds_ratio,pvalue,padj
PF11935.15,1,1,inf,0.3367700498605595,0.4892970851422977
PF17778.8,1,1,inf,0.3367700498605595,0.4892970851422977
PF24685.2,1,1,inf,0.3367700498605595,0.4892970851422977
PF00166.27,1,1,inf,0.3367700498605595,0.4892970851422977
PF16123.12,1,1,inf,0.3367700498605595,0.4892970851422977
PF17802.8,1,1,inf,0.3367700498605595,0.4892970851422977
PF25342.2,1,1,inf,0.3367700498605595,0.4892970851422977
PF10477.15,1,1,inf,0.3367700498605595,0.4892970851422977
PF03455.25,4,4,inf,0.012849907253843284,0.4892970851422977
PF03223.21,1,1,inf,0.3367700498605595,0.4892970851422977
PF03368.20,2,2,inf,0.11339518920254132,0.4892970851422977
PF23376.2,10,6,2.957024377984418,0.08005026228020558,0.4892970851422977
PF00155.28,17,7,1.3792357968828557,0.33716785601010013,0.4892970851422977
PF21240.3,1,1,inf,0.3367700498605595,0.4892970851422977
PF22634.2,1,1,inf,0.3367700498605595,0.4892970851422977
PF23414.2,155,57,1.1475695166050126,0.2297175526078836,0.4892970851422977
PF02825.27,4,3,5.911853340030135,0.11415183807068115,0.4892970851422977
PF02833.20,1,1,inf,0.3367700498605595,0.4892970851422977
PF12937.13,29,12,1.391332672006633,0.24426099135634688,0.4892970851422977
PF01266.31,17,8,1.7520744279607745,0.1797466759940911,0.4892970851422977
PF03055.22,1,1,inf,0.3367700498605595,0.4892970851422977
PF03071.22,1,1,inf,0.3367700498605595,0.4892970851422977
PF13920.13,30,14,1.7257617728531855,0.09634572970480902,0.4892970851422977
PF08150.18,1,1,inf,0.3367700498605595,0.4892970851422977
PF13889.12,1,1,inf,0.3367700498605595,0.4892970851422977
PF17875.8,1,1,inf,0.3367700498605595,0.4892970851422977
PF04565.22,3,2,3.9402460456942006,0.26383478769151847,0.4892970851422977
PF09606.16,1,1,inf,0.3367700498605595,0.4892970851422977
PF05783.18,1,1,inf,0.3367700498605595,0.4892970851422977
PF03966.23,1,1,inf,0.3367700498605595,0.4892970851422977
PF18266.9,1,1,inf,0.3367700498605595,0.4892970851422977
PF05676.19,1,1,inf,0.3367700498605595,0.4892970851422977
PF01200.25,1,1,inf,0.3367700498605595,0.4892970851422977
