pfam_accession,genes_com_dominio_universo,genes_com_dominio_DE,odds_ratio,pvalue,padj
PF13576.13,1,1,inf,0.35189723654187444,0.5111401667074547
PF23194.2,1,1,inf,0.35189723654187444,0.5111401667074547
PF05645.20,1,1,inf,0.35189723654187444,0.5111401667074547
PF04628.20,4,3,5.528478731074261,0.12826280449719676,0.5111401667074547
PF07942.19,1,1,inf,0.35189723654187444,0.5111401667074547
PF04934.20,1,1,inf,0.35189723654187444,0.5111401667074547
PF20210.5,1,1,inf,0.35189723654187444,0.5111401667074547
PF05527.18,1,1,inf,0.35189723654187444,0.5111401667074547
PF03623.19,1,1,inf,0.35189723654187444,0.5111401667074547
PF00186.25,1,1,inf,0.35189723654187444,0.5111401667074547
PF21354.4,1,1,inf,0.35189723654187444,0.5111401667074547
PF02171.24,4,3,5.528478731074261,0.12826280449719676,0.5111401667074547
PF00628.36,24,14,2.583759036144578,0.017170900891189864,0.5111401667074547
PF10291.15,1,1,inf,0.35189723654187444,0.5111401667074547
PF07780.18,1,1,inf,0.35189723654187444,0.5111401667074547
PF02204.24,5,4,7.373076923076923,0.05504903212955071,0.5111401667074547
PF25047.1,120,49,1.274286789998802,0.11477722296921058,0.5111401667074547
PF05450.21,1,1,inf,0.35189723654187444,0.5111401667074547
PF16912.12,3,2,3.684766938971648,0.2843258234790958,0.5111401667074547
PF01553.27,11,6,2.211832611832612,0.15180161312976914,0.5111401667074547
PF23342.2,49,22,1.5033353005347212,0.10224701387123372,0.5111401667074547
PF08661.18,1,1,inf,0.35189723654187444,0.5111401667074547
PF17205.10,1,1,inf,0.35189723654187444,0.5111401667074547
PF27558.1,1,1,inf,0.35189723654187444,0.5111401667074547
PF09316.16,2,2,inf,0.12381238976705741,0.5111401667074547
PF06957.18,1,1,inf,0.35189723654187444,0.5111401667074547
PF01394.27,1,1,inf,0.35189723654187444,0.5111401667074547
PF14844.13,4,3,5.528478731074261,0.12826280449719676,0.5111401667074547
PF16191.11,1,1,inf,0.35189723654187444,0.5111401667074547
PF02148.26,8,7,12.91219629540534,0.003689381669897668,0.5111401667074547
PF18358.8,1,1,inf,0.35189723654187444,0.5111401667074547
PF09793.15,1,1,inf,0.35189723654187444,0.5111401667074547
PF22975.3,1,1,inf,0.35189723654187444,0.5111401667074547
PF21539.3,1,1,inf,0.35189723654187444,0.5111401667074547
PF14061.13,1,1,inf,0.35189723654187444,0.5111401667074547
PF17210.10,1,1,inf,0.35189723654187444,0.5111401667074547
PF12230.14,2,2,inf,0.12381238976705741,0.5111401667074547
PF12890.14,1,1,inf,0.35189723654187444,0.5111401667074547
PF06883.18,1,1,inf,0.35189723654187444,0.5111401667074547
PF20511.5,1,1,inf,0.35189723654187444,0.5111401667074547
PF25027.2,1,1,inf,0.35189723654187444,0.5111401667074547
PF24542.2,1,1,inf,0.35189723654187444,0.5111401667074547
PF18296.7,1,1,inf,0.35189723654187444,0.5111401667074547
PF20175.4,1,1,inf,0.35189723654187444,0.5111401667074547
PF11531.15,1,1,inf,0.35189723654187444,0.5111401667074547
PF10248.15,1,1,inf,0.35189723654187444,0.5111401667074547
PF12977.13,2,2,inf,0.12381238976705741,0.5111401667074547
PF15787.12,1,1,inf,0.35189723654187444,0.5111401667074547
PF10270.15,1,1,inf,0.35189723654187444,0.5111401667074547
PF25069.3,1,1,inf,0.35189723654187444,0.5111401667074547
PF08564.17,1,1,inf,0.35189723654187444,0.5111401667074547
PF02163.29,1,1,inf,0.35189723654187444,0.5111401667074547
PF00454.34,13,8,2.950529355149182,0.04758409053414237,0.5111401667074547
PF01193.30,4,4,inf,0.01531996238231868,0.5111401667074547
PF14222.12,1,1,inf,0.35189723654187444,0.5111401667074547
PF04418.18,1,1,inf,0.35189723654187444,0.5111401667074547
PF16876.11,1,1,inf,0.35189723654187444,0.5111401667074547
PF10255.16,1,1,inf,0.35189723654187444,0.5111401667074547
PF24948.2,3,3,inf,0.04355567291103821,0.5111401667074547
PF23643.2,1,1,inf,0.35189723654187444,0.5111401667074547
PF13832.13,4,3,5.528478731074261,0.12826280449719676,0.5111401667074547
PF03456.26,6,5,9.21856215436403,0.022853975186092897,0.5111401667074547
PF23570.1,1,1,inf,0.35189723654187444,0.5111401667074547
PF06026.21,1,1,inf,0.35189723654187444,0.5111401667074547
PF25087.2,6,5,9.21856215436403,0.022853975186092897,0.5111401667074547
PF01650.24,1,1,inf,0.35189723654187444,0.5111401667074547
PF05427.17,1,1,inf,0.35189723654187444,0.5111401667074547
PF16320.11,1,1,inf,0.35189723654187444,0.5111401667074547
PF13570.14,25,11,1.4482645935812322,0.23482987022228477,0.5111401667074547
PF24468.2,2,2,inf,0.12381238976705741,0.5111401667074547
PF02064.22,1,1,inf,0.35189723654187444,0.5111401667074547
PF13207.13,7,5,4.60867997114691,0.05682660650885887,0.5111401667074547
PF09696.16,1,1,inf,0.35189723654187444,0.5111401667074547
PF00076.29,110,50,1.5412818019769892,0.0163364779721378,0.5111401667074547
PF23586.3,8,4,1.8425480769230769,0.29762668939335046,0.5111401667074547
PF10585.15,2,2,inf,0.12381238976705741,0.5111401667074547
PF14955.13,1,1,inf,0.35189723654187444,0.5111401667074547
PF25064.2,4,3,5.528478731074261,0.12826280449719676,0.5111401667074547
PF00416.28,1,1,inf,0.35189723654187444,0.5111401667074547
PF01208.24,1,1,inf,0.35189723654187444,0.5111401667074547
PF04921.21,1,1,inf,0.35189723654187444,0.5111401667074547
PF23099.2,1,1,inf,0.35189723654187444,0.5111401667074547
PF10597.15,1,1,inf,0.35189723654187444,0.5111401667074547
PF25767.2,2,2,inf,0.12381238976705741,0.5111401667074547
PF20030.6,1,1,inf,0.35189723654187444,0.5111401667074547
