pfam_accession,genes_com_dominio_universo,genes_com_dominio_DE,odds_ratio,pvalue,padj
PF01282.26,1,1,inf,0.02154990281416378,0.11653960600817519
PF16126.12,1,1,inf,0.02154990281416378,0.11653960600817519
PF13887.12,1,1,inf,0.02154990281416378,0.11653960600817519
PF08205.19,56,5,4.520392156862745,0.006976082664953574,0.11653960600817519
PF06293.21,9,2,13.067193675889328,0.015069634661502912,0.11653960600817519
PF05404.18,1,1,inf,0.02154990281416378,0.11653960600817519
PF10255.16,1,1,inf,0.02154990281416378,0.11653960600817519
PF24489.2,1,1,inf,0.02154990281416378,0.11653960600817519
PF00043.31,22,3,7.242481203007519,0.011251198546331272,0.11653960600817519
PF01619.25,1,1,inf,0.02154990281416378,0.11653960600817519
PF01147.23,1,1,inf,0.02154990281416378,0.11653960600817519
PF02271.22,1,1,inf,0.02154990281416378,0.11653960600817519
PF15501.12,1,1,inf,0.02154990281416378,0.11653960600817519
PF12795.13,1,1,inf,0.02154990281416378,0.11653960600817519
PF20173.4,1,1,inf,0.02154990281416378,0.11653960600817519
PF13023.13,1,1,inf,0.02154990281416378,0.11653960600817519
PF13409.13,24,3,6.551587301587301,0.014328131562937057,0.11653960600817519
PF12510.14,1,1,inf,0.02154990281416378,0.11653960600817519
PF10469.16,1,1,inf,0.02154990281416378,0.11653960600817519
PF16122.11,1,1,inf,0.02154990281416378,0.11653960600817519
PF09445.17,1,1,inf,0.02154990281416378,0.11653960600817519
PF14204.12,1,1,inf,0.02154990281416378,0.11653960600817519
PF23724.2,1,1,inf,0.02154990281416378,0.11653960600817519
PF02936.20,1,1,inf,0.02154990281416378,0.11653960600817519
PF24518.2,1,1,inf,0.02154990281416378,0.11653960600817519
PF00647.25,1,1,inf,0.02154990281416378,0.11653960600817519
PF07686.24,96,7,3.6436661833997825,0.004648721376699933,0.11653960600817519
PF02046.21,1,1,inf,0.02154990281416378,0.11653960600817519
PF17144.10,1,1,inf,0.02154990281416378,0.11653960600817519
PF00079.26,32,4,6.573705179282869,0.004712737795215186,0.11653960600817519
PF13927.13,124,8,3.2003350551444925,0.005353672488775037,0.11653960600817519
PF01775.23,1,1,inf,0.02154990281416378,0.11653960600817519
PF23415.2,1,1,inf,0.02154990281416378,0.11653960600817519
PF18485.8,1,1,inf,0.02154990281416378,0.11653960600817519
PF13417.13,29,3,5.289377289377289,0.023913121398754185,0.12440877082136671
PF02798.27,29,3,5.289377289377289,0.023913121398754185,0.12440877082136671
PF08246.18,29,3,5.289377289377289,0.023913121398754185,0.12440877082136671
PF00567.31,12,2,9.144664031620554,0.02647903468272769,0.1360360406825135
PF00333.27,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF25578.2,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF17763.7,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF03946.20,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF16020.11,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF03947.25,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF00238.25,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF06009.20,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF00710.26,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF23490.1,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF03476.22,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF00298.25,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF21164.3,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF00181.31,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF00580.28,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF20742.4,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF24312.2,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF00573.28,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF02789.24,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF00849.28,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF16880.11,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF02736.26,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF23247.2,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF09412.16,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF11987.14,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF24943.1,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF17736.8,14,2,7.619235836627141,0.03549451378469504,0.1369053503115921
PF17849.8,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF00128.32,14,2,7.619235836627141,0.03549451378469504,0.1369053503115921
PF03719.22,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF19026.8,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF04199.20,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF13895.13,112,6,2.607865423959991,0.03405221460116745,0.1369053503115921
PF03473.24,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF07679.23,110,6,2.658480074142725,0.031569067818045575,0.1369053503115921
PF23622.2,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF03987.21,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF25300.1,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF00773.26,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF01170.25,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF00163.25,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF00318.26,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF17876.8,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF15868.11,15,2,7.032532684706598,0.040383777661910064,0.1369053503115921
PF16893.12,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF13405.13,57,4,3.465383748026761,0.034158118438555776,0.1369053503115921
PF25396.2,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF00229.25,2,1,45.57874015748032,0.04263718939144474,0.1369053503115921
PF07654.22,16,2,6.529644268774703,0.045510128815718295,0.14499738715705596
PF16680.12,17,2,6.093807641633728,0.05086116543461318,0.16079953072020012
PF22971.3,66,4,2.9600308443644776,0.053771976298681474,0.16870444472334417
PF03145.23,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF05641.19,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF07495.20,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF10179.16,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF05335.19,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF01479.31,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF03092.23,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF00112.30,18,2,5.712450592885376,0.056424906438404566,0.16886162530666998
PF27698.1,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF15936.11,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF06218.17,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF02475.24,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF01108.24,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF00687.27,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF06832.19,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF13772.12,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF13202.13,42,3,3.522283272283272,0.06138383818654394,0.16886162530666998
PF06094.18,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF06003.18,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF23649.2,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF08204.18,18,2,5.712450592885376,0.056424906438404566,0.16886162530666998
PF01652.25,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF00338.28,3,1,22.787401574803148,0.063271752547998,0.16886162530666998
PF22854.3,44,3,3.349883855981417,0.06866780367018303,0.18208043424803372
PF00089.33,236,9,1.829429461695498,0.06966023829080577,0.18352793549693058
PF02719.22,21,2,4.809236530060328,0.07427860082396924,0.1884802514516105
PF05033.23,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF03281.21,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF14497.12,21,2,4.809236530060328,0.07427860082396924,0.1884802514516105
PF18322.7,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF14520.13,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF08686.17,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF00154.28,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF03392.19,21,2,4.809236530060328,0.07427860082396924,0.1884802514516105
PF22594.3,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF01370.28,47,3,3.1206709956709955,0.08028720800602654,0.1884802514516105
PF24357.2,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF17171.10,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF02263.26,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF19035.7,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF00856.34,22,2,4.568379446640316,0.08058134105173312,0.1884802514516105
PF00313.29,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF03051.22,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF21972.2,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF00402.24,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF06745.20,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF00047.32,104,5,2.318989898989899,0.07401026847865108,0.1884802514516105
PF08614.17,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF05383.24,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF03129.26,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF16347.11,4,1,15.19028871391076,0.08346327436543335,0.1884802514516105
PF00041.28,48,3,3.051058201058201,0.0843380807693917,0.18941503385912561
PF05986.20,5,1,11.391732283464567,0.10322123066239967,0.21644860103186872
PF01248.32,5,1,11.391732283464567,0.10322123066239967,0.21644860103186872
PF03567.21,5,1,11.391732283464567,0.10322123066239967,0.21644860103186872
PF25788.3,5,1,11.391732283464567,0.10322123066239967,0.21644860103186872
PF16212.12,5,1,11.391732283464567,0.10322123066239967,0.21644860103186872
PF20266.4,5,1,11.391732283464567,0.10322123066239967,0.21644860103186872
PF00334.25,5,1,11.391732283464567,0.10322123066239967,0.21644860103186872
PF02493.27,5,1,11.391732283464567,0.10322123066239967,0.21644860103186872
PF16209.11,5,1,11.391732283464567,0.10322123066239967,0.21644860103186872
PF00282.26,5,1,11.391732283464567,0.10322123066239967,0.21644860103186872
PF22741.2,5,1,11.391732283464567,0.10322123066239967,0.21644860103186872
PF08423.18,5,1,11.391732283464567,0.10322123066239967,0.21644860103186872
PF00883.27,5,1,11.391732283464567,0.10322123066239967,0.21644860103186872
PF00412.29,26,2,3.80566534914361,0.10728389429962024,0.22382578963017216
PF00036.39,55,3,2.6387362637362637,0.11498419077666636,0.23867930509701954
PF22042.3,6,1,9.11259842519685,0.12255489537165634,0.24451486406675121
PF23769.2,6,1,9.11259842519685,0.12255489537165634,0.24451486406675121
PF25480.2,6,1,9.11259842519685,0.12255489537165634,0.24451486406675121
PF25372.2,6,1,9.11259842519685,0.12255489537165634,0.24451486406675121
PF25013.1,6,1,9.11259842519685,0.12255489537165634,0.24451486406675121
PF21361.4,6,1,9.11259842519685,0.12255489537165634,0.24451486406675121
PF06779.21,6,1,9.11259842519685,0.12255489537165634,0.24451486406675121
