gene_id,gene_symbol,event_type,probability_changing,dpsi_mean
gene-LOC142981517,LOC142981517,t,0.9249,0.3862
gene-LOC142981926,LOC142981926,t,0.9945,0.3979
gene-LOC142981926,LOC142981926,t,0.9184,-0.324
gene-LOC142981648,LOC142981648,s,0.9999,0.3898
gene-LOC142981648,LOC142981648,s,0.9999,-0.3898
gene-LOC142981648,LOC142981648,t,1.0,-0.4165
gene-LOC142981648,LOC142981648,t,1.0,0.4165
gene-LOC142982242,LOC142982242,s,0.9733,-0.412
gene-LOC142982242,LOC142982242,s,0.9887,0.4301
gene-LOC142982430,LOC142982430,t,1.0,0.4648
gene-LOC142982430,LOC142982430,t,1.0,-0.4648
gene-LOC142982425,LOC142982425,s,0.9583,-0.2785
gene-LOC142982425,LOC142982425,s,0.9364,0.2723
gene-LOC142982559,LOC142982559,t,0.9993,0.3671
gene-LOC142982559,LOC142982559,t,0.904,-0.2565
gene-MrgBP,MrgBP,s,0.9868,-0.4567
gene-MrgBP,MrgBP,s,0.9868,0.4567
gene-MrgBP,MrgBP,t,0.9881,0.4374
gene-MrgBP,MrgBP,t,0.9881,-0.4374
gene-LOC142983036,LOC142983036,t,0.9197,0.3954
gene-LOC142983221,LOC142983221,s,1.0,-0.6833
gene-LOC142983221,LOC142983221,s,1.0,0.6833
gene-LOC142983470,LOC142983470,t,1.0,0.5101
gene-LOC142983470,LOC142983470,t,1.0,-0.6137
gene-LOC142983900,LOC142983900,t,1.0,0.4908
gene-LOC142983900,LOC142983900,t,0.9979,-0.4164
gene-LOC142983825,LOC142983825,t,0.9993,0.4851
gene-LOC142983825,LOC142983825,t,0.9991,-0.4797
gene-LOC142984091,LOC142984091,t,0.9998,-0.5204
gene-LOC142984091,LOC142984091,t,0.9078,0.3248
gene-LOC142985346,LOC142985346,s,0.9996,-0.4814
gene-LOC142985346,LOC142985346,s,0.9996,0.4801
gene-trio,trio,t,0.9719,0.3455
gene-Nost,Nost,t,0.9965,0.384
gene-Nost,Nost,t,0.9876,-0.3525
gene-LOC142986391,LOC142986391,t,0.919,0.3083
gene-LOC142986391,LOC142986391,t,0.919,-0.3083
gene-path,path,t,0.9933,-0.4053
gene-path,path,t,0.9933,0.4053
gene-LOC142986232,LOC142986232,s,0.9988,0.4356
gene-LOC142986232,LOC142986232,s,0.9988,-0.4356
gene-tan,tan,t,0.9886,-0.5685
gene-tan,tan,t,0.9898,0.5723
