gene_id,gene_symbol,event_type,FDR,IncLevelDifference
gene-LOC142987113,LOC142987113,MXE,0.008795510105213667,0.361
gene-Mcad,Mcad,MXE,5.187303399179875e-07,0.288
gene-LOC142972551,LOC142972551,MXE,1.3476449660649455e-06,0.195
gene-LOC142975421,LOC142975421,MXE,0.00022139918365311176,-0.272
gene-LOC142982081,LOC142982081,MXE,0.01121702855606387,0.194
gene-Tm1,Tm1,MXE,8.238382050627667e-09,0.365
gene-Tm1,Tm1,MXE,1.07603088770317e-06,0.317
gene-Tm1,Tm1,MXE,1.6768997053892165e-07,-0.302
gene-CatD,CatD,MXE,0.007866811484338862,0.209
gene-LOC142976358,LOC142976358,MXE,0.0006575102619942316,0.13
gene-LOC142983201,LOC142983201,MXE,1.81032966395484e-12,-0.16
gene-AnxB10,AnxB10,MXE,0.04952458486949632,0.259
gene-Bmptp-Z,Bmptp-Z,RI,0.00083520648747054,0.158
gene-aralar1,aralar1,RI,0.0019012407814371426,-0.139
gene-LOC142980421,LOC142980421,RI,0.000299463517482375,0.415
gene-SAK,SAK,RI,0.000299463517482375,0.383
gene-pnut,pnut,RI,0.000299463517482375,0.121
gene-LOC142974497,LOC142974497,RI,2.5989210783453e-12,-0.577
gene-Rnb,Rnb,RI,0.010800774806953333,0.131
